Employee_ID,Work_Life_Balance_Rating,Access_to_Mental_Health_Resources,Productivity_Change,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Region
EMP1138,4,Yes,Increase,Unsatisfied,1,Asia
EMP1139,5,No,No Change,Neutral,5,North America
EMP1140,5,Yes,Decrease,Neutral,1,Africa
EMP1141,2,Yes,Increase,Unsatisfied,3,South America
EMP1142,1,No,Decrease,Neutral,3,North America
EMP1143,3,Yes,No Change,Satisfied,5,Europe
EMP1144,5,Yes,No Change,Satisfied,1,Asia
EMP1145,4,No,Decrease,Unsatisfied,1,Europe
EMP1146,3,No,No Change,Satisfied,4,Africa
EMP1147,1,Yes,No Change,Unsatisfied,1,South America
EMP1148,3,Yes,Decrease,Satisfied,2,Asia
EMP1149,3,Yes,Increase,Neutral,4,Africa
EMP1150,5,No,No Change,Satisfied,3,Europe
EMP1151,3,Yes,Increase,Unsatisfied,5,North America
EMP1152,1,No,No Change,Neutral,5,Africa
EMP1153,5,No,Increase,Neutral,2,North America
EMP1154,3,No,No Change,Neutral,2,Oceania
EMP1155,2,No,Increase,Neutral,4,South America
EMP1156,2,Yes,Increase,Unsatisfied,2,Asia
EMP1157,1,No,Decrease,Unsatisfied,4,North America
EMP1158,1,Yes,Increase,Unsatisfied,4,Oceania
EMP1159,2,No,No Change,Neutral,5,Asia
EMP1160,3,Yes,Increase,Neutral,1,South America
EMP1161,1,No,Increase,Unsatisfied,4,South America
EMP1162,3,No,Decrease,Neutral,2,Oceania
EMP1163,2,Yes,No Change,Neutral,5,North America
EMP1164,1,No,Decrease,Satisfied,1,South America
EMP1165,1,Yes,No Change,Unsatisfied,2,South America
EMP1166,1,No,Increase,Neutral,2,North America
EMP1167,3,No,Decrease,Unsatisfied,2,North America
EMP1168,2,Yes,No Change,Neutral,4,Asia
EMP1169,2,Yes,No Change,Neutral,3,Africa
EMP1170,5,No,Decrease,Unsatisfied,5,South America
EMP1171,3,Yes,No Change,Neutral,3,Africa
EMP1172,3,Yes,No Change,Satisfied,2,North America
EMP1173,3,Yes,Decrease,Satisfied,4,Europe
EMP1174,2,No,Decrease,Neutral,3,South America
EMP1175,2,No,No Change,Unsatisfied,1,Oceania
EMP1176,1,No,Increase,Neutral,1,Oceania
EMP1177,4,No,No Change,Satisfied,3,Asia
EMP1178,5,Yes,Increase,Neutral,4,Oceania
EMP1179,4,No,Increase,Unsatisfied,3,Oceania
EMP1180,5,Yes,No Change,Unsatisfied,2,Europe
EMP1181,3,No,Increase,Neutral,5,Asia
EMP1182,1,No,Decrease,Satisfied,1,North America
EMP1183,5,No,Increase,Unsatisfied,4,Asia
EMP1184,3,Yes,Decrease,Satisfied,4,Africa
EMP1185,1,No,Decrease,Satisfied,1,Europe
EMP1186,5,Yes,Decrease,Unsatisfied,4,North America
EMP1187,5,No,No Change,Unsatisfied,3,Europe
EMP1188,3,No,Decrease,Unsatisfied,2,Oceania
EMP1189,4,No,Increase,Satisfied,4,South America
EMP1190,1,No,No Change,Satisfied,2,Africa
EMP1191,5,Yes,No Change,Unsatisfied,5,Oceania
EMP1192,1,Yes,Decrease,Neutral,4,Asia
EMP1193,5,No,Decrease,Neutral,4,Europe
EMP1194,5,No,Decrease,Satisfied,5,Europe
EMP1195,3,Yes,Decrease,Satisfied,5,Asia
EMP1196,5,No,Decrease,Unsatisfied,4,Asia
EMP1197,2,No,Increase,Neutral,1,Oceania
EMP1198,2,No,No Change,Neutral,3,North America
EMP1199,2,Yes,Increase,Neutral,3,Asia
EMP1200,4,No,Increase,Neutral,2,South America
EMP1201,1,No,No Change,Neutral,4,South America
EMP1202,5,Yes,No Change,Satisfied,3,South America
EMP1203,1,Yes,Decrease,Satisfied,4,Europe
EMP1204,2,Yes,No Change,Unsatisfied,3,Africa
EMP1205,4,No,Increase,Unsatisfied,4,Europe
EMP1206,3,Yes,No Change,Neutral,1,Asia
EMP1207,2,No,Decrease,Satisfied,4,Africa
EMP1208,5,Yes,Decrease,Satisfied,2,Africa
EMP1209,2,No,No Change,Satisfied,4,Asia
EMP1210,4,Yes,Decrease,Unsatisfied,4,Oceania
EMP1211,5,No,Decrease,Unsatisfied,4,North America
EMP1212,1,No,Increase,Unsatisfied,5,Europe
EMP1213,4,No,No Change,Unsatisfied,2,South America
EMP1214,5,Yes,Decrease,Unsatisfied,4,North America
EMP1215,2,No,Increase,Neutral,2,South America
EMP1216,1,No,No Change,Satisfied,5,South America
EMP1217,3,Yes,No Change,Unsatisfied,4,North America
EMP1218,2,Yes,No Change,Satisfied,1,Europe
EMP1219,2,No,Increase,Neutral,3,Oceania
EMP1220,1,Yes,Increase,Satisfied,3,Oceania
EMP1221,5,Yes,Increase,Unsatisfied,1,South America
EMP1222,5,No,No Change,Unsatisfied,3,Africa
EMP1223,2,No,Increase,Unsatisfied,2,Europe
EMP1224,1,No,Increase,Neutral,1,Africa
EMP1225,3,Yes,Decrease,Satisfied,5,Africa
EMP1226,4,No,Increase,Neutral,3,Oceania
EMP1227,3,Yes,Decrease,Neutral,2,South America
EMP1228,1,Yes,Decrease,Neutral,5,Oceania
EMP1229,5,No,Increase,Neutral,5,Oceania
EMP1230,3,No,No Change,Satisfied,3,Europe
EMP1231,3,No,No Change,Satisfied,4,Africa
EMP1232,1,No,Decrease,Satisfied,5,South America
EMP1233,1,No,Increase,Satisfied,2,Africa
EMP1234,1,No,Increase,Unsatisfied,2,South America
EMP1235,2,Yes,Increase,Neutral,3,North America
EMP1236,2,No,Increase,Satisfied,4,South America
EMP1237,4,Yes,Decrease,Satisfied,1,North America
EMP1238,3,Yes,Increase,Neutral,4,Europe
EMP1239,5,Yes,No Change,Neutral,5,Europe
EMP1240,5,Yes,Increase,Neutral,4,South America
EMP1241,1,No,Increase,Unsatisfied,5,Oceania
EMP1242,5,Yes,Increase,Satisfied,2,North America
EMP1243,2,No,Decrease,Satisfied,5,Oceania
EMP1244,1,No,No Change,Unsatisfied,2,South America
EMP1245,4,Yes,Decrease,Satisfied,3,Africa
EMP1246,5,Yes,No Change,Unsatisfied,1,North America
EMP1247,2,No,No Change,Neutral,5,Oceania
EMP1248,4,Yes,Increase,Satisfied,1,North America
EMP1249,5,No,No Change,Unsatisfied,3,Africa
EMP1250,3,Yes,Decrease,Neutral,4,Africa
EMP1251,2,No,Increase,Neutral,4,South America
EMP1252,1,Yes,Decrease,Neutral,4,South America
EMP1253,4,No,Increase,Satisfied,5,Oceania
EMP1254,3,No,Increase,Neutral,2,Europe
EMP1255,2,No,No Change,Neutral,4,Asia
EMP1256,3,Yes,Decrease,Unsatisfied,3,Oceania
EMP1257,3,Yes,No Change,Satisfied,3,South America
EMP1258,5,No,Decrease,Neutral,2,Africa
EMP1259,3,Yes,No Change,Satisfied,4,Europe
EMP1260,1,No,No Change,Neutral,4,Asia
EMP1261,5,Yes,Increase,Satisfied,4,Asia
EMP1262,1,Yes,No Change,Unsatisfied,4,South America
EMP1263,2,Yes,Increase,Neutral,3,South America
EMP1264,4,No,Decrease,Satisfied,1,Asia
EMP1265,4,Yes,Increase,Neutral,2,Asia
EMP1266,5,No,Decrease,Neutral,4,Asia
EMP1267,2,No,Increase,Unsatisfied,2,North America
EMP1268,4,No,No Change,Neutral,5,Europe
EMP1269,1,No,No Change,Neutral,3,North America
EMP1270,3,Yes,No Change,Unsatisfied,5,South America
EMP1271,4,No,Decrease,Unsatisfied,5,Africa
EMP1272,5,No,Increase,Unsatisfied,2,Asia
EMP1273,2,Yes,No Change,Unsatisfied,5,North America
EMP1274,1,No,Decrease,Neutral,4,Europe
EMP1275,2,No,Decrease,Neutral,3,North America
EMP1276,4,Yes,No Change,Unsatisfied,5,North America
EMP1277,3,No,Decrease,Satisfied,5,Europe
EMP1278,1,No,No Change,Neutral,2,South America
EMP1279,1,Yes,No Change,Neutral,5,Europe
EMP1280,1,No,No Change,Satisfied,4,Europe
EMP1281,1,Yes,Decrease,Neutral,2,North America
EMP1282,2,No,Increase,Neutral,5,Oceania
EMP1283,2,No,No Change,Satisfied,2,Oceania
EMP1284,3,No,No Change,Unsatisfied,2,North America
EMP1285,3,No,No Change,Satisfied,5,Asia
EMP1286,1,Yes,Decrease,Unsatisfied,2,Africa
EMP1287,4,No,Decrease,Unsatisfied,4,Africa
EMP1288,4,No,Increase,Unsatisfied,3,South America
EMP1289,1,No,Decrease,Neutral,1,Africa
EMP1290,4,Yes,No Change,Unsatisfied,2,Europe
EMP1291,2,No,No Change,Satisfied,4,North America
EMP1292,4,Yes,Increase,Neutral,2,South America
EMP1293,1,No,Decrease,Satisfied,2,Europe
EMP1294,3,No,No Change,Satisfied,2,Europe
EMP1295,4,No,Increase,Unsatisfied,3,Oceania
EMP1296,2,No,No Change,Unsatisfied,1,North America
EMP1297,2,No,Decrease,Unsatisfied,2,Africa
EMP1298,3,No,Increase,Neutral,4,Africa
EMP1299,2,No,No Change,Neutral,3,Europe
EMP1300,3,No,Decrease,Satisfied,5,South America
EMP1301,4,Yes,Increase,Satisfied,5,Oceania
EMP1302,4,No,Decrease,Satisfied,3,Oceania
EMP1303,1,Yes,Decrease,Unsatisfied,5,Asia
EMP1304,2,No,Decrease,Satisfied,1,Europe
EMP1305,1,No,No Change,Unsatisfied,5,Africa
EMP1306,3,Yes,No Change,Unsatisfied,2,Asia
EMP1307,1,No,Increase,Unsatisfied,2,South America
EMP1308,3,Yes,Increase,Unsatisfied,2,Oceania
EMP1309,2,Yes,No Change,Unsatisfied,1,Oceania
EMP1310,4,Yes,No Change,Neutral,3,Oceania
EMP1311,1,No,Increase,Satisfied,4,Asia
EMP1312,2,Yes,Decrease,Unsatisfied,3,North America
EMP1313,4,Yes,No Change,Neutral,2,Oceania
EMP1314,2,Yes,Increase,Satisfied,4,North America
EMP1315,5,No,No Change,Neutral,3,Oceania
EMP1316,3,Yes,Decrease,Unsatisfied,5,Oceania
EMP1317,1,Yes,No Change,Satisfied,5,South America
EMP1318,3,Yes,No Change,Unsatisfied,2,Asia
EMP1319,3,No,No Change,Satisfied,2,Africa
EMP1320,2,Yes,Decrease,Satisfied,2,South America
EMP1321,1,No,Increase,Neutral,1,North America
EMP1322,3,No,No Change,Neutral,3,Africa
EMP1323,5,Yes,Increase,Neutral,4,Oceania
EMP1324,2,Yes,Decrease,Unsatisfied,4,North America
EMP1325,2,Yes,Decrease,Unsatisfied,4,South America
EMP1326,4,Yes,Decrease,Neutral,3,South America
EMP1327,5,No,Increase,Neutral,2,Oceania
EMP1328,2,No,No Change,Unsatisfied,2,Oceania
EMP1329,1,Yes,Increase,Neutral,4,North America
EMP1330,5,No,Increase,Neutral,4,Europe
EMP1331,4,No,Decrease,Satisfied,4,Oceania
EMP1332,5,Yes,Increase,Unsatisfied,2,Asia
EMP1333,5,Yes,Decrease,Unsatisfied,1,Oceania
EMP1334,3,Yes,No Change,Neutral,1,South America
EMP1335,2,No,Increase,Neutral,4,North America
EMP1336,4,Yes,Increase,Neutral,4,Europe
EMP1337,3,Yes,Increase,Satisfied,3,Asia
EMP1338,2,No,Decrease,Satisfied,5,Africa
EMP1339,3,Yes,Increase,Unsatisfied,4,Asia
EMP1340,2,Yes,Decrease,Satisfied,2,South America
EMP1341,2,No,Decrease,Unsatisfied,1,Africa
EMP1342,3,No,Decrease,Satisfied,1,Europe
EMP1343,3,No,Decrease,Neutral,3,Oceania
EMP1344,2,No,No Change,Neutral,2,North America
EMP1345,1,Yes,Increase,Unsatisfied,3,Africa
EMP1346,2,No,Increase,Neutral,4,North America
EMP1347,1,No,No Change,Satisfied,2,Africa
EMP1348,5,Yes,No Change,Satisfied,3,Africa
EMP1349,4,Yes,Increase,Satisfied,5,Oceania
EMP1350,5,Yes,Increase,Neutral,1,South America
EMP1351,1,No,No Change,Satisfied,3,Oceania
EMP1352,4,No,No Change,Unsatisfied,4,Asia
EMP1353,3,No,Decrease,Unsatisfied,2,Europe
EMP1354,3,Yes,Increase,Unsatisfied,5,Europe
EMP1355,5,Yes,Increase,Unsatisfied,5,Africa
EMP1356,5,No,No Change,Neutral,3,Europe
EMP1357,3,Yes,Decrease,Unsatisfied,4,Europe
EMP1358,5,No,Increase,Neutral,1,Europe
EMP1359,5,Yes,Decrease,Unsatisfied,1,Africa
EMP1360,2,No,Decrease,Neutral,4,Oceania
EMP1361,1,No,Increase,Neutral,3,North America
EMP1362,2,Yes,Increase,Satisfied,3,Europe
EMP1363,4,No,No Change,Neutral,1,South America
EMP1364,5,No,Decrease,Unsatisfied,1,South America
EMP1365,1,Yes,Increase,Unsatisfied,2,North America
EMP1366,4,No,Decrease,Unsatisfied,1,Oceania
EMP1367,4,No,Increase,Unsatisfied,3,Asia
EMP1368,3,No,No Change,Unsatisfied,5,Oceania
EMP1369,1,No,Decrease,Satisfied,1,South America
EMP1370,2,No,Increase,Satisfied,1,Asia
EMP1371,5,No,Increase,Satisfied,4,Asia
EMP1372,2,Yes,No Change,Neutral,2,Oceania
EMP1373,5,Yes,No Change,Unsatisfied,5,Asia
EMP1374,5,Yes,Decrease,Satisfied,2,South America
EMP1375,3,Yes,No Change,Satisfied,4,South America
EMP1376,5,No,Increase,Neutral,3,South America
EMP1377,4,Yes,Increase,Neutral,5,South America
EMP1378,2,No,Increase,Unsatisfied,5,Africa
EMP1379,3,Yes,No Change,Satisfied,4,Africa
EMP1380,1,No,Increase,Satisfied,3,Africa
EMP1381,5,No,Increase,Satisfied,4,Asia
EMP1382,5,Yes,Decrease,Unsatisfied,2,Africa
EMP1383,2,No,Increase,Neutral,2,North America
EMP1384,2,No,Increase,Satisfied,3,Oceania
EMP1385,3,Yes,Decrease,Neutral,4,Europe
EMP1386,5,Yes,Decrease,Neutral,3,Africa
EMP1387,3,No,Increase,Unsatisfied,1,North America
EMP1388,5,Yes,Decrease,Neutral,4,Africa
EMP1389,5,No,Increase,Satisfied,2,Africa
EMP1390,1,No,Increase,Neutral,4,Africa
EMP1391,3,No,Increase,Unsatisfied,4,North America
EMP1392,1,No,Decrease,Neutral,2,Asia
EMP1393,3,Yes,Increase,Unsatisfied,3,North America
EMP1394,5,No,Decrease,Neutral,2,Oceania
EMP1395,4,Yes,Decrease,Neutral,1,North America
EMP1396,4,No,No Change,Unsatisfied,2,North America
EMP1397,1,No,Increase,Unsatisfied,5,South America
EMP1398,5,No,Increase,Unsatisfied,5,Africa
EMP1399,2,No,Decrease,Unsatisfied,2,North America
EMP1400,1,Yes,Decrease,Neutral,3,Oceania
EMP1401,5,No,No Change,Unsatisfied,1,South America
EMP1402,3,Yes,Decrease,Unsatisfied,5,South America
EMP1403,4,Yes,Decrease,Neutral,5,Europe
EMP1404,1,Yes,No Change,Neutral,5,Oceania
EMP1405,4,No,Decrease,Satisfied,5,North America
EMP1406,3,No,Decrease,Satisfied,3,Europe
EMP1407,3,No,Decrease,Neutral,1,South America
EMP1408,5,No,No Change,Satisfied,1,South America
EMP1409,2,Yes,Increase,Unsatisfied,1,Asia
EMP1410,3,Yes,No Change,Neutral,3,North America
EMP1411,3,No,Decrease,Satisfied,4,Africa
EMP1412,5,No,Decrease,Unsatisfied,1,South America
EMP1413,3,Yes,No Change,Satisfied,4,Oceania
EMP1414,2,No,Increase,Unsatisfied,3,Europe
EMP1415,4,Yes,No Change,Satisfied,3,North America
EMP1416,1,No,Increase,Neutral,2,Oceania
EMP1417,5,Yes,No Change,Satisfied,3,South America
EMP1418,5,No,No Change,Satisfied,4,South America
EMP1419,2,Yes,Increase,Satisfied,4,Africa
EMP1420,3,Yes,No Change,Neutral,2,Asia
EMP1421,1,No,No Change,Satisfied,1,Oceania
EMP1422,5,No,No Change,Unsatisfied,5,Africa
EMP1423,4,No,Increase,Unsatisfied,1,South America
EMP1424,4,Yes,Decrease,Neutral,4,Asia
EMP1425,4,Yes,Increase,Neutral,3,North America
EMP1426,3,Yes,Increase,Neutral,1,Asia
EMP1427,3,No,Increase,Neutral,3,Oceania
EMP1428,3,Yes,Increase,Neutral,1,Africa
EMP1429,2,Yes,Decrease,Unsatisfied,4,North America
EMP1430,5,No,No Change,Satisfied,4,North America
EMP1431,4,No,Decrease,Satisfied,5,Oceania
EMP1432,3,No,No Change,Satisfied,4,South America
EMP1433,4,No,No Change,Unsatisfied,1,South America
EMP1434,1,Yes,Decrease,Neutral,3,Europe
EMP1435,2,Yes,Increase,Neutral,4,North America
EMP1436,4,No,Increase,Satisfied,5,South America
EMP1437,4,No,Increase,Neutral,3,Oceania
EMP1438,2,Yes,No Change,Unsatisfied,2,South America
EMP1439,4,No,No Change,Unsatisfied,2,Africa
EMP1440,2,No,Increase,Unsatisfied,3,Europe
EMP1441,3,No,Decrease,Satisfied,1,Asia
EMP1442,3,Yes,Increase,Satisfied,4,Oceania
EMP1443,1,Yes,Decrease,Satisfied,5,North America
EMP1444,1,No,No Change,Neutral,1,Europe
EMP1445,3,Yes,Decrease,Neutral,5,North America
EMP1446,3,No,Increase,Satisfied,1,Africa
EMP1447,2,Yes,No Change,Satisfied,1,Asia
EMP1448,1,No,Increase,Unsatisfied,5,Asia
EMP1449,1,Yes,Decrease,Unsatisfied,4,South America
EMP1450,1,Yes,No Change,Satisfied,5,Europe
EMP1451,3,No,No Change,Neutral,1,Africa
EMP1452,3,Yes,No Change,Neutral,2,South America
EMP1453,1,No,Increase,Satisfied,5,South America
EMP1454,5,No,Increase,Unsatisfied,1,Oceania
EMP1455,2,No,No Change,Unsatisfied,5,Africa
EMP1456,1,Yes,Decrease,Neutral,3,Oceania
EMP1457,5,No,Decrease,Unsatisfied,4,Oceania
EMP1458,4,No,Increase,Satisfied,5,South America
EMP1459,4,No,Increase,Neutral,2,North America
EMP1460,1,Yes,Increase,Satisfied,4,South America
EMP1461,4,Yes,Increase,Satisfied,1,Asia
EMP1462,4,No,No Change,Satisfied,2,Oceania
EMP1463,4,No,No Change,Unsatisfied,3,Europe
EMP1464,2,No,No Change,Unsatisfied,3,North America
EMP1465,3,Yes,No Change,Satisfied,5,Europe
EMP1466,1,Yes,Decrease,Unsatisfied,1,North America
EMP1467,2,No,Increase,Neutral,3,Africa
EMP1468,2,Yes,Decrease,Neutral,2,Asia
EMP1469,1,No,No Change,Neutral,2,Africa
EMP1470,4,Yes,Increase,Neutral,3,Oceania
EMP1471,5,No,No Change,Satisfied,5,Europe
EMP1472,1,Yes,No Change,Neutral,5,South America
EMP1473,5,Yes,No Change,Satisfied,2,North America
EMP1474,1,Yes,Decrease,Unsatisfied,4,Africa
EMP1475,3,No,Decrease,Neutral,5,South America
EMP1476,3,Yes,Increase,Neutral,3,Asia
EMP1477,2,Yes,Increase,Satisfied,1,North America
EMP1478,1,No,Increase,Unsatisfied,3,Europe
EMP1479,3,Yes,Decrease,Unsatisfied,3,Europe
EMP1480,4,Yes,No Change,Unsatisfied,2,Europe
EMP1481,3,Yes,No Change,Neutral,4,Asia
EMP1482,2,No,No Change,Unsatisfied,1,North America
EMP1483,3,Yes,Increase,Neutral,2,Europe
EMP1484,3,No,Increase,Unsatisfied,5,South America
EMP1485,2,No,Decrease,Unsatisfied,5,Asia
EMP1486,3,Yes,Decrease,Unsatisfied,1,Oceania
EMP1487,3,No,No Change,Satisfied,1,Asia
EMP1488,1,Yes,No Change,Satisfied,3,North America
EMP1489,1,No,Decrease,Satisfied,1,Europe
EMP1490,5,Yes,No Change,Satisfied,3,Oceania
EMP1491,3,Yes,Decrease,Unsatisfied,5,Asia
EMP1492,5,Yes,Decrease,Satisfied,4,Oceania
EMP1493,5,No,Decrease,Neutral,3,Asia
EMP1494,1,No,Increase,Satisfied,1,Africa
EMP1495,3,Yes,Decrease,Satisfied,1,North America
EMP1496,1,Yes,Increase,Neutral,4,Africa
EMP1497,4,Yes,No Change,Satisfied,5,Asia
EMP1498,3,No,Increase,Satisfied,5,South America
EMP1499,2,Yes,Increase,Unsatisfied,3,Africa
EMP1500,4,No,No Change,Unsatisfied,5,South America
EMP1501,4,No,Decrease,Neutral,3,Europe
EMP1502,5,No,Decrease,Neutral,2,Oceania
EMP1503,2,Yes,Decrease,Satisfied,2,Europe
EMP1504,3,No,Increase,Satisfied,5,Asia
EMP1505,5,Yes,Increase,Neutral,5,Africa
EMP1506,2,No,No Change,Satisfied,5,Europe
EMP1507,3,No,No Change,Unsatisfied,1,Asia
EMP1508,5,Yes,No Change,Satisfied,2,Oceania
EMP1509,3,Yes,Decrease,Unsatisfied,2,South America
EMP1510,3,Yes,Increase,Unsatisfied,2,Oceania
EMP1511,3,Yes,Increase,Unsatisfied,3,South America
EMP1512,4,No,No Change,Satisfied,3,Europe
EMP1513,4,No,Increase,Neutral,4,North America
EMP1514,5,Yes,Decrease,Neutral,3,North America
EMP1515,3,Yes,Increase,Satisfied,2,Africa
EMP1516,1,No,No Change,Unsatisfied,2,South America
EMP1517,1,No,Decrease,Satisfied,1,Africa
EMP1518,3,No,No Change,Neutral,2,Europe
EMP1519,3,No,No Change,Unsatisfied,5,Africa
EMP1520,4,Yes,Increase,Satisfied,1,Asia
EMP1521,3,No,Decrease,Neutral,4,Africa
EMP1522,1,Yes,No Change,Neutral,1,South America
EMP1523,1,No,Decrease,Neutral,3,Europe
EMP1524,3,No,Decrease,Unsatisfied,4,South America
EMP1525,3,No,Increase,Neutral,3,North America
EMP1526,2,No,Decrease,Unsatisfied,1,Europe
EMP1527,5,Yes,No Change,Neutral,4,Oceania
EMP1528,4,Yes,Decrease,Neutral,3,Europe
EMP1529,5,No,Increase,Unsatisfied,3,Europe
EMP1530,4,Yes,Increase,Satisfied,2,Asia
EMP1531,3,Yes,Increase,Neutral,3,Africa
EMP1532,3,Yes,Increase,Unsatisfied,3,South America
EMP1533,5,No,No Change,Neutral,2,Africa
EMP1534,4,Yes,No Change,Neutral,1,Africa
EMP1535,5,Yes,Decrease,Neutral,5,Europe
EMP1536,1,No,No Change,Neutral,4,Oceania
EMP1537,4,Yes,No Change,Neutral,3,Oceania
EMP1538,3,Yes,No Change,Neutral,4,North America
EMP1539,2,Yes,Increase,Neutral,5,Europe
EMP1540,5,Yes,Increase,Neutral,3,Africa
EMP1541,2,No,Increase,Unsatisfied,4,Africa
EMP1542,3,Yes,Decrease,Unsatisfied,4,Europe
EMP1543,3,Yes,Decrease,Satisfied,1,Asia
EMP1544,2,No,Decrease,Satisfied,5,North America
EMP1545,2,Yes,No Change,Satisfied,2,Oceania
EMP1546,3,Yes,Increase,Unsatisfied,5,North America
EMP1547,3,No,Decrease,Satisfied,5,Oceania
EMP1548,3,No,Decrease,Satisfied,4,Europe
EMP1549,1,No,Increase,Unsatisfied,5,South America
EMP1550,3,Yes,No Change,Unsatisfied,1,Oceania
EMP1551,5,No,No Change,Neutral,2,Africa
EMP1552,1,Yes,Decrease,Satisfied,4,South America
EMP1553,4,Yes,No Change,Neutral,2,Europe
EMP1554,4,No,No Change,Unsatisfied,3,Europe
EMP1555,3,No,Increase,Neutral,1,Asia
EMP1556,4,Yes,No Change,Neutral,5,Europe
EMP1557,4,No,Increase,Satisfied,2,Europe
EMP1558,3,Yes,Increase,Satisfied,3,Oceania
EMP1559,3,Yes,No Change,Unsatisfied,1,Asia
EMP1560,4,No,No Change,Unsatisfied,4,Oceania
EMP1561,3,Yes,Decrease,Satisfied,1,Europe
EMP1562,4,Yes,Decrease,Satisfied,3,Africa
EMP1563,3,Yes,No Change,Satisfied,5,South America
EMP1564,5,No,Decrease,Unsatisfied,4,Africa
EMP1565,5,No,Decrease,Satisfied,4,Oceania
EMP1566,1,No,Decrease,Unsatisfied,2,Europe
EMP1567,2,Yes,No Change,Unsatisfied,5,North America
EMP1568,3,No,Decrease,Neutral,5,Europe
EMP1569,2,No,Increase,Neutral,5,Oceania
EMP1570,2,Yes,Decrease,Satisfied,3,Asia
EMP1571,1,Yes,Decrease,Unsatisfied,2,South America
EMP1572,5,Yes,Decrease,Neutral,1,Oceania
EMP1573,3,No,No Change,Unsatisfied,4,Asia
EMP1574,1,No,Increase,Neutral,3,Oceania
EMP1575,4,Yes,Decrease,Neutral,5,Oceania
EMP1576,1,Yes,No Change,Unsatisfied,4,Europe
EMP1577,5,Yes,No Change,Satisfied,5,Africa
EMP1578,2,No,Decrease,Neutral,3,Europe
EMP1579,4,Yes,Decrease,Satisfied,5,Asia
EMP1580,4,Yes,Decrease,Neutral,4,South America
EMP1581,1,No,No Change,Satisfied,3,Asia
EMP1582,2,No,Decrease,Neutral,1,Europe
EMP1583,3,Yes,Decrease,Satisfied,5,Asia
EMP1584,5,No,Increase,Satisfied,2,Europe
EMP1585,1,No,Decrease,Unsatisfied,4,Asia
EMP1586,2,Yes,Decrease,Unsatisfied,5,Africa
EMP1587,2,Yes,No Change,Unsatisfied,5,South America
EMP1588,1,Yes,No Change,Unsatisfied,3,Oceania
EMP1589,1,Yes,No Change,Neutral,5,Asia
EMP1590,5,No,No Change,Satisfied,4,Africa
EMP1591,4,No,No Change,Unsatisfied,5,Asia
EMP1592,1,No,Decrease,Neutral,4,Oceania
EMP1593,1,Yes,No Change,Satisfied,3,Europe
EMP1594,1,No,No Change,Neutral,5,North America
EMP1595,1,No,Increase,Neutral,3,North America
EMP1596,5,No,No Change,Unsatisfied,3,Oceania
EMP1597,3,Yes,Decrease,Neutral,3,Africa
EMP1598,2,Yes,Increase,Neutral,2,Africa
EMP1599,5,Yes,No Change,Neutral,5,Africa
EMP1600,4,No,Decrease,Satisfied,5,North America
EMP1601,5,No,No Change,Neutral,3,Oceania
EMP1602,3,No,Increase,Satisfied,3,North America
EMP1603,1,Yes,Decrease,Neutral,4,South America
EMP1604,1,Yes,Increase,Unsatisfied,3,Asia
EMP1605,5,No,No Change,Satisfied,1,Oceania
EMP1606,3,No,No Change,Neutral,4,Asia
EMP1607,1,Yes,Increase,Satisfied,4,Asia
EMP1608,2,Yes,Decrease,Neutral,3,South America
EMP1609,5,No,Increase,Neutral,5,Europe
EMP1610,3,No,Increase,Neutral,4,Africa
EMP1611,4,No,Decrease,Neutral,3,North America
EMP1612,5,No,No Change,Unsatisfied,2,North America
EMP1613,2,No,Increase,Satisfied,4,Asia
EMP1614,3,No,Increase,Satisfied,1,South America
EMP1615,4,Yes,Increase,Satisfied,4,Europe
EMP1616,5,Yes,Decrease,Unsatisfied,5,South America
EMP1617,1,No,Decrease,Satisfied,5,Oceania
EMP1618,4,Yes,No Change,Unsatisfied,3,Africa
EMP1619,5,No,No Change,Satisfied,5,Africa
EMP1620,1,Yes,No Change,Satisfied,4,Europe
EMP1621,3,Yes,Decrease,Neutral,5,South America
EMP1622,5,Yes,Decrease,Unsatisfied,4,North America
EMP1623,2,No,No Change,Neutral,3,Asia
EMP1624,2,Yes,Decrease,Neutral,4,Asia
EMP1625,2,No,No Change,Unsatisfied,4,Africa
EMP1626,4,Yes,No Change,Unsatisfied,3,North America
EMP1627,4,No,Decrease,Unsatisfied,5,Africa
EMP1628,4,Yes,No Change,Neutral,2,South America
EMP1629,2,Yes,Decrease,Satisfied,5,North America
EMP1630,5,Yes,No Change,Unsatisfied,3,Asia
EMP1631,4,No,Increase,Neutral,5,Africa
EMP1632,3,Yes,Decrease,Satisfied,2,Europe
EMP1633,4,No,Increase,Neutral,2,North America
EMP1634,5,Yes,No Change,Unsatisfied,3,North America
EMP1635,4,Yes,Decrease,Satisfied,4,Oceania
EMP1636,3,Yes,Increase,Unsatisfied,3,South America
EMP1637,3,No,Decrease,Unsatisfied,4,South America
EMP1638,3,Yes,No Change,Unsatisfied,3,North America
EMP1639,4,No,No Change,Satisfied,3,Africa
EMP1640,3,No,Decrease,Unsatisfied,3,Europe
EMP1641,3,Yes,No Change,Satisfied,2,North America
EMP1642,1,Yes,Decrease,Neutral,1,Asia
EMP1643,1,Yes,No Change,Neutral,4,South America
EMP1644,5,Yes,No Change,Satisfied,5,Africa
EMP1645,3,Yes,Decrease,Satisfied,5,North America
