Employee_ID,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings
EMP1034,HR,Finance,33,Hybrid,45,7
EMP1035,Project Manager,Retail,27,Remote,30,5
EMP1036,Designer,Consulting,28,Hybrid,32,9
EMP1037,HR,Education,23,Onsite,30,13
EMP1038,Software Engineer,Consulting,7,Hybrid,59,15
EMP1039,Project Manager,Consulting,6,Hybrid,23,10
EMP1040,Software Engineer,IT,3,Remote,48,7
EMP1041,HR,Manufacturing,23,Remote,37,7
EMP1042,Marketing,Education,34,Onsite,27,11
EMP1043,Sales,Retail,7,Hybrid,39,15
EMP1044,Marketing,Healthcare,27,Onsite,31,2
EMP1045,Marketing,Retail,23,Hybrid,52,1
EMP1046,Sales,Healthcare,31,Remote,55,1
EMP1047,Designer,Healthcare,6,Remote,29,11
EMP1048,Designer,Manufacturing,17,Onsite,23,15
EMP1049,Sales,Manufacturing,1,Hybrid,46,10
EMP1050,Designer,Retail,5,Remote,47,2
EMP1051,Project Manager,Education,7,Onsite,51,2
EMP1052,Sales,Manufacturing,31,Onsite,46,5
EMP1053,Project Manager,IT,4,Remote,41,12
EMP1054,Data Scientist,IT,19,Hybrid,29,6
EMP1055,Sales,IT,18,Remote,31,1
EMP1056,Data Scientist,Healthcare,7,Remote,25,4
EMP1057,Sales,Consulting,10,Remote,60,13
EMP1058,Software Engineer,Retail,12,Remote,28,10
EMP1059,HR,Finance,21,Remote,34,14
EMP1060,Software Engineer,Retail,14,Onsite,35,13
EMP1061,HR,Manufacturing,24,Onsite,20,8
EMP1062,Designer,IT,28,Onsite,26,7
EMP1063,Project Manager,IT,35,Hybrid,45,11
EMP1064,Designer,IT,34,Onsite,60,2
EMP1065,Data Scientist,Finance,10,Remote,41,0
EMP1066,Data Scientist,Consulting,16,Onsite,42,2
EMP1067,Project Manager,Education,10,Hybrid,41,0
EMP1068,Marketing,Manufacturing,3,Onsite,23,2
EMP1069,Sales,Consulting,31,Onsite,34,13
EMP1070,Software Engineer,Finance,5,Remote,53,6
EMP1071,Marketing,Finance,20,Hybrid,33,2
EMP1072,Marketing,Education,3,Remote,50,6
EMP1073,Software Engineer,Finance,11,Hybrid,41,15
EMP1074,Software Engineer,Healthcare,5,Remote,48,2
EMP1075,Marketing,Manufacturing,18,Hybrid,58,6
EMP1076,Designer,Consulting,35,Onsite,33,5
EMP1077,Project Manager,Education,10,Onsite,49,15
EMP1078,Designer,Consulting,24,Hybrid,60,15
EMP1079,Software Engineer,Education,30,Hybrid,40,15
EMP1080,HR,IT,13,Onsite,60,8
EMP1081,Project Manager,Manufacturing,27,Hybrid,48,5
EMP1082,Designer,Manufacturing,35,Remote,50,4
EMP1083,Sales,Consulting,29,Remote,33,1
EMP1084,Data Scientist,Healthcare,32,Onsite,45,15
EMP1085,Marketing,Consulting,25,Hybrid,56,5
EMP1086,Sales,Retail,4,Remote,31,0
EMP1087,Project Manager,IT,10,Onsite,43,12
EMP1088,Data Scientist,Manufacturing,24,Remote,40,9
EMP1089,Project Manager,IT,1,Onsite,34,13
EMP1090,Marketing,Retail,27,Remote,40,4
EMP1091,Designer,IT,8,Remote,33,2
EMP1092,HR,Finance,33,Onsite,20,13
EMP1093,Marketing,Education,2,Remote,34,4
EMP1094,HR,Education,35,Onsite,25,14
EMP1095,Data Scientist,Education,25,Remote,35,11
EMP1096,HR,Healthcare,8,Hybrid,45,6
EMP1097,Software Engineer,Finance,20,Onsite,28,15
EMP1098,Designer,Consulting,20,Hybrid,58,12
EMP1099,HR,Manufacturing,27,Onsite,23,13
EMP1100,HR,Manufacturing,16,Remote,57,15
EMP1101,Marketing,Retail,11,Remote,28,14
EMP1102,Software Engineer,Manufacturing,4,Hybrid,50,1
EMP1103,Designer,Retail,4,Hybrid,46,5
EMP1104,Software Engineer,Education,19,Hybrid,60,7
EMP1105,Designer,Retail,20,Hybrid,25,3
EMP1106,Sales,Healthcare,16,Remote,45,13
EMP1107,Data Scientist,Education,19,Remote,50,2
EMP1108,Designer,Manufacturing,24,Onsite,25,3
EMP1109,HR,Manufacturing,4,Hybrid,49,15
EMP1110,Software Engineer,Education,33,Hybrid,23,4
EMP1111,Data Scientist,Finance,10,Onsite,26,11
EMP1112,Project Manager,Consulting,35,Remote,46,1
EMP1113,Data Scientist,IT,13,Remote,42,5
EMP1114,Designer,Healthcare,18,Remote,46,15
EMP1115,Designer,Finance,19,Onsite,29,10
EMP1116,Data Scientist,IT,18,Onsite,43,5
EMP1117,Data Scientist,Education,19,Onsite,33,7
EMP1118,Sales,Healthcare,21,Remote,24,14
EMP1119,Project Manager,Education,33,Remote,30,8
EMP1120,Sales,Healthcare,21,Onsite,29,1
EMP1121,Data Scientist,Finance,20,Hybrid,23,2
EMP1122,Designer,Consulting,12,Onsite,43,9
EMP1123,Marketing,Consulting,22,Hybrid,28,4
EMP1124,Sales,Retail,20,Hybrid,22,11
EMP1125,Project Manager,Education,28,Onsite,58,10
EMP1126,Marketing,Consulting,21,Hybrid,39,10
EMP1127,Data Scientist,Healthcare,11,Onsite,49,8
EMP1128,Sales,Education,26,Onsite,39,10
EMP1129,Designer,Healthcare,22,Hybrid,39,7
EMP1130,Data Scientist,Healthcare,30,Hybrid,36,1
EMP1131,Marketing,IT,28,Hybrid,22,9
EMP1132,Designer,Retail,13,Remote,53,8
EMP1133,Designer,Retail,33,Remote,26,7
EMP1134,HR,Education,3,Onsite,24,15
EMP1135,Data Scientist,Retail,17,Hybrid,47,12
EMP1136,Marketing,Consulting,24,Onsite,43,14
EMP1137,Sales,Education,7,Onsite,56,3
EMP1138,Marketing,Finance,5,Onsite,52,0
EMP1139,Designer,Retail,22,Hybrid,35,10
EMP1140,Marketing,IT,1,Remote,36,11
EMP1141,Project Manager,Healthcare,35,Remote,25,9
EMP1142,Marketing,IT,19,Hybrid,54,11
EMP1143,HR,Consulting,24,Onsite,52,6
EMP1144,Sales,Retail,26,Remote,23,13
EMP1145,HR,Manufacturing,2,Onsite,57,15
EMP1146,Designer,Retail,33,Hybrid,50,10
EMP1147,Sales,Retail,30,Hybrid,59,8
EMP1148,Designer,Finance,31,Remote,30,8
EMP1149,Marketing,Consulting,25,Hybrid,20,4
EMP1150,Software Engineer,Education,6,Remote,51,1
EMP1151,Project Manager,Healthcare,10,Hybrid,58,12
EMP1152,HR,Healthcare,11,Onsite,36,14
EMP1153,Marketing,Consulting,7,Hybrid,33,4
EMP1154,Marketing,Consulting,24,Onsite,58,12
EMP1155,Data Scientist,Healthcare,6,Remote,27,7
EMP1156,HR,IT,10,Remote,45,12
EMP1157,Sales,Manufacturing,17,Hybrid,58,5
EMP1158,Marketing,Finance,7,Onsite,37,7
EMP1159,Data Scientist,Retail,18,Remote,59,1
EMP1160,HR,IT,30,Onsite,35,3
EMP1161,Sales,Retail,13,Remote,31,1
EMP1162,Designer,Retail,7,Onsite,44,2
EMP1163,Software Engineer,Healthcare,15,Onsite,42,7
EMP1164,HR,Consulting,3,Onsite,27,1
EMP1165,Designer,Healthcare,28,Hybrid,39,7
EMP1166,Software Engineer,Healthcare,3,Remote,45,5
EMP1167,Project Manager,Retail,20,Onsite,59,7
EMP1168,Marketing,Manufacturing,27,Remote,42,15
EMP1169,HR,Retail,11,Hybrid,55,5
EMP1170,Data Scientist,IT,14,Onsite,41,15
EMP1171,Sales,Consulting,7,Onsite,37,9
EMP1172,Project Manager,Manufacturing,18,Remote,30,6
EMP1173,HR,Education,28,Onsite,58,8
EMP1174,Designer,Finance,9,Hybrid,36,7
EMP1175,Designer,Healthcare,15,Remote,41,8
EMP1176,HR,Finance,31,Remote,29,5
EMP1177,Software Engineer,Healthcare,25,Hybrid,31,11
EMP1178,Data Scientist,Retail,24,Remote,39,7
EMP1179,Sales,IT,35,Onsite,33,7
EMP1180,Sales,Retail,21,Onsite,45,11
EMP1181,Marketing,Healthcare,23,Onsite,39,1
EMP1182,Marketing,Finance,22,Remote,40,14
EMP1183,HR,IT,10,Hybrid,49,0
EMP1184,Project Manager,Finance,5,Hybrid,49,15
EMP1185,Sales,IT,21,Remote,53,15
EMP1186,HR,Education,35,Remote,23,5
EMP1187,Software Engineer,Finance,25,Onsite,34,13
EMP1188,Software Engineer,IT,19,Remote,55,0
EMP1189,Data Scientist,Finance,30,Remote,44,2
EMP1190,Sales,Finance,31,Onsite,54,8
EMP1191,Data Scientist,Finance,33,Remote,29,9
EMP1192,Designer,Consulting,33,Remote,32,2
EMP1193,Marketing,IT,18,Onsite,45,3
EMP1194,Software Engineer,Education,23,Hybrid,59,0
EMP1195,Designer,Retail,20,Hybrid,35,8
EMP1196,Project Manager,Retail,13,Remote,36,2
EMP1197,Software Engineer,Manufacturing,23,Hybrid,29,5
EMP1198,Project Manager,Healthcare,34,Onsite,43,15
EMP1199,Sales,Finance,4,Onsite,49,13
EMP1200,Data Scientist,Education,14,Onsite,52,11
EMP1201,Project Manager,Consulting,21,Hybrid,54,15
EMP1202,Project Manager,Finance,3,Hybrid,33,11
EMP1203,Software Engineer,Retail,27,Remote,31,9
EMP1204,Project Manager,Education,33,Remote,45,10
EMP1205,Project Manager,Healthcare,17,Remote,52,4
EMP1206,Marketing,Consulting,26,Hybrid,41,7
EMP1207,Marketing,Consulting,27,Hybrid,54,14
EMP1208,Sales,Finance,9,Remote,38,8
EMP1209,Designer,IT,5,Hybrid,23,5
EMP1210,Sales,IT,28,Hybrid,27,2
EMP1211,HR,Education,24,Onsite,45,1
EMP1212,HR,Manufacturing,22,Hybrid,29,9
EMP1213,Sales,Finance,14,Hybrid,31,3
EMP1214,Marketing,Manufacturing,25,Remote,45,12
EMP1215,Project Manager,Education,9,Onsite,28,3
EMP1216,Marketing,Manufacturing,28,Hybrid,32,2
EMP1217,Project Manager,Education,11,Hybrid,56,0
EMP1218,Marketing,Finance,21,Remote,46,1
EMP1219,Designer,Consulting,15,Hybrid,29,0
EMP1220,Software Engineer,Education,21,Hybrid,51,0
EMP1221,Marketing,Retail,4,Remote,35,6
EMP1222,Designer,Finance,17,Onsite,23,13
EMP1223,Sales,Education,21,Onsite,50,12
EMP1224,Project Manager,Retail,29,Remote,58,14
EMP1225,Software Engineer,Manufacturing,1,Onsite,45,6
EMP1226,Designer,Retail,13,Onsite,54,9
EMP1227,Designer,IT,22,Hybrid,54,15
EMP1228,Data Scientist,Manufacturing,26,Onsite,27,3
EMP1229,HR,Healthcare,30,Onsite,60,2
EMP1230,Project Manager,Retail,29,Onsite,21,7
EMP1231,HR,Healthcare,24,Onsite,60,15
EMP1232,Software Engineer,Finance,4,Onsite,50,11
EMP1233,Software Engineer,IT,10,Remote,41,0
EMP1234,Marketing,Healthcare,15,Hybrid,41,5
EMP1235,Data Scientist,Consulting,4,Hybrid,56,1
EMP1236,Sales,Consulting,22,Hybrid,23,4
EMP1237,Data Scientist,Manufacturing,34,Remote,32,7
EMP1238,Designer,Retail,24,Hybrid,22,13
EMP1239,Data Scientist,Finance,29,Remote,48,12
EMP1240,Designer,IT,1,Hybrid,22,7
EMP1241,Designer,Retail,4,Hybrid,22,12
EMP1242,Data Scientist,Finance,2,Remote,60,8
EMP1243,Data Scientist,Education,32,Hybrid,38,9
EMP1244,Data Scientist,Retail,27,Remote,34,9
EMP1245,Software Engineer,Manufacturing,9,Onsite,23,14
EMP1246,Designer,IT,30,Onsite,52,3
EMP1247,Software Engineer,Education,10,Hybrid,24,14
EMP1248,Marketing,Finance,26,Onsite,38,10
EMP1249,HR,Healthcare,24,Hybrid,46,2
EMP1250,HR,Retail,8,Hybrid,44,3
EMP1251,Designer,Finance,33,Remote,31,7
EMP1252,Marketing,Healthcare,26,Onsite,32,3
EMP1253,Software Engineer,Retail,23,Remote,31,2
EMP1254,Project Manager,IT,7,Hybrid,20,10
EMP1255,Software Engineer,Consulting,9,Hybrid,42,5
EMP1256,Marketing,Education,14,Hybrid,36,4
EMP1257,Marketing,Finance,14,Hybrid,44,2
EMP1258,Marketing,Finance,30,Hybrid,46,13
EMP1259,Designer,Manufacturing,34,Onsite,55,9
EMP1260,Software Engineer,Finance,28,Hybrid,40,4
EMP1261,Sales,Finance,34,Remote,40,13
EMP1262,HR,Consulting,25,Remote,38,7
EMP1263,HR,Manufacturing,29,Hybrid,57,12
EMP1264,Software Engineer,Retail,20,Hybrid,22,10
EMP1265,Data Scientist,IT,11,Hybrid,45,8
EMP1266,Data Scientist,Finance,31,Remote,41,11
EMP1267,Data Scientist,Healthcare,23,Remote,49,11
EMP1268,Sales,Consulting,29,Onsite,32,15
EMP1269,Sales,Finance,15,Onsite,25,9
EMP1270,Marketing,Finance,9,Hybrid,24,14
EMP1271,Project Manager,Consulting,10,Remote,49,12
EMP1272,Project Manager,Education,14,Hybrid,59,4
EMP1273,HR,IT,10,Onsite,39,8
EMP1274,Project Manager,Consulting,25,Remote,34,14
EMP1275,Software Engineer,Healthcare,14,Remote,55,10
EMP1276,Designer,Retail,33,Remote,28,9
EMP1277,Project Manager,Finance,13,Remote,39,0
EMP1278,Project Manager,Finance,34,Remote,43,6
EMP1279,Sales,Education,7,Hybrid,57,6
EMP1280,Software Engineer,Healthcare,28,Onsite,32,1
EMP1281,Data Scientist,Finance,9,Remote,25,15
EMP1282,Marketing,Education,21,Remote,22,7
EMP1283,Software Engineer,Consulting,32,Onsite,59,15
EMP1284,Software Engineer,Education,21,Onsite,22,6
EMP1285,Project Manager,Education,33,Remote,46,8
EMP1286,Marketing,Finance,33,Remote,43,0
EMP1287,Marketing,IT,2,Hybrid,48,6
EMP1288,Project Manager,Healthcare,8,Onsite,39,15
EMP1289,Project Manager,Consulting,7,Remote,49,15
EMP1290,Marketing,Healthcare,16,Hybrid,38,11
EMP1291,Data Scientist,Healthcare,14,Hybrid,32,10
EMP1292,Designer,Retail,28,Hybrid,47,7
EMP1293,HR,Consulting,16,Onsite,39,3
EMP1294,Data Scientist,Consulting,1,Hybrid,47,9
EMP1295,Designer,Healthcare,10,Remote,53,6
EMP1296,Designer,IT,14,Hybrid,49,2
EMP1297,Sales,Manufacturing,24,Onsite,47,9
EMP1298,Data Scientist,Retail,14,Hybrid,25,13
EMP1299,Data Scientist,Consulting,19,Hybrid,55,7
EMP1300,Sales,Retail,2,Onsite,35,4
EMP1301,Data Scientist,Consulting,27,Onsite,57,2
EMP1302,Project Manager,Retail,35,Hybrid,58,13
EMP1303,Sales,IT,35,Remote,44,12
EMP1304,Data Scientist,Finance,22,Hybrid,28,4
EMP1305,Designer,Healthcare,9,Hybrid,25,6
EMP1306,Data Scientist,Retail,31,Onsite,58,15
EMP1307,Designer,Finance,34,Onsite,44,11
EMP1308,Designer,IT,6,Onsite,25,1
EMP1309,Project Manager,Healthcare,2,Onsite,48,0
EMP1310,Marketing,Education,8,Hybrid,34,4
EMP1311,HR,Finance,17,Onsite,38,1
EMP1312,Designer,Healthcare,22,Remote,37,14
EMP1313,Marketing,Finance,19,Remote,22,5
EMP1314,HR,Finance,12,Onsite,22,3
EMP1315,Marketing,Healthcare,8,Onsite,52,3
EMP1316,Designer,Finance,7,Remote,28,3
EMP1317,Data Scientist,Manufacturing,28,Onsite,43,3
EMP1318,Sales,Manufacturing,13,Onsite,41,8
EMP1319,Marketing,Finance,13,Onsite,48,3
EMP1320,Software Engineer,Education,19,Hybrid,30,9
EMP1321,Data Scientist,Consulting,1,Onsite,29,1
EMP1322,Project Manager,Consulting,3,Remote,31,0
EMP1323,HR,Healthcare,6,Remote,43,4
EMP1324,Marketing,Manufacturing,15,Onsite,56,2
EMP1325,Data Scientist,IT,15,Onsite,58,9
EMP1326,Marketing,Consulting,34,Remote,53,7
EMP1327,Marketing,Retail,22,Remote,36,3
EMP1328,Marketing,Healthcare,17,Hybrid,40,9
EMP1329,Software Engineer,Retail,23,Hybrid,60,8
EMP1330,Marketing,IT,21,Hybrid,44,2
EMP1331,Software Engineer,Education,7,Remote,33,15
EMP1332,Data Scientist,Healthcare,21,Hybrid,50,7
EMP1333,Data Scientist,Manufacturing,7,Remote,38,10
EMP1334,Project Manager,Healthcare,13,Remote,51,14
EMP1335,Designer,Finance,11,Remote,59,6
EMP1336,Project Manager,Education,16,Onsite,54,0
EMP1337,Project Manager,Consulting,17,Remote,34,8
EMP1338,Designer,Healthcare,31,Remote,37,3
EMP1339,Designer,Finance,26,Remote,24,5
EMP1340,Project Manager,Education,1,Remote,60,0
EMP1341,HR,Finance,17,Onsite,34,5
EMP1342,HR,IT,30,Onsite,25,0
EMP1343,Software Engineer,IT,4,Remote,41,13
EMP1344,Project Manager,IT,3,Remote,54,15
EMP1345,Designer,IT,10,Onsite,39,2
EMP1346,Sales,Healthcare,16,Onsite,52,15
EMP1347,Software Engineer,IT,35,Remote,54,5
EMP1348,Project Manager,Healthcare,8,Onsite,22,15
EMP1349,Marketing,Consulting,12,Hybrid,43,11
EMP1350,HR,Retail,27,Hybrid,35,14
EMP1351,Software Engineer,Manufacturing,2,Onsite,26,0
EMP1352,HR,Consulting,25,Onsite,32,13
EMP1353,Project Manager,IT,32,Remote,53,9
EMP1354,Data Scientist,Healthcare,23,Remote,32,15
EMP1355,Data Scientist,Education,23,Hybrid,35,1
EMP1356,Software Engineer,Manufacturing,20,Hybrid,44,6
EMP1357,Software Engineer,Consulting,25,Onsite,24,5
EMP1358,Sales,Manufacturing,33,Remote,47,14
EMP1359,Project Manager,Retail,18,Hybrid,32,1
EMP1360,HR,Finance,13,Remote,32,0
EMP1361,HR,Manufacturing,14,Remote,39,4
EMP1362,Data Scientist,Healthcare,7,Remote,49,11
EMP1363,HR,Education,21,Remote,59,7
EMP1364,HR,IT,6,Hybrid,23,13
EMP1365,HR,Retail,20,Remote,34,0
EMP1366,Marketing,IT,12,Hybrid,49,4
EMP1367,Software Engineer,Finance,6,Remote,39,11
EMP1368,Data Scientist,Healthcare,17,Remote,26,13
EMP1369,Marketing,Consulting,7,Hybrid,50,7
EMP1370,Sales,Finance,30,Hybrid,46,4
EMP1371,Data Scientist,Consulting,1,Onsite,46,6
EMP1372,Data Scientist,IT,20,Hybrid,22,7
EMP1373,Project Manager,IT,33,Hybrid,56,13
EMP1374,Designer,Education,29,Remote,35,8
EMP1375,Software Engineer,Manufacturing,25,Onsite,54,15
EMP1376,Data Scientist,Retail,6,Hybrid,51,5
EMP1377,Sales,Finance,9,Remote,45,4
EMP1378,Sales,Education,13,Remote,42,4
EMP1379,Project Manager,Retail,20,Hybrid,55,9
EMP1380,Sales,Retail,32,Onsite,21,5
EMP1381,Designer,Healthcare,19,Onsite,41,15
EMP1382,Marketing,Healthcare,10,Onsite,49,13
EMP1383,Designer,Finance,14,Remote,47,7
EMP1384,HR,Healthcare,19,Onsite,29,8
EMP1385,HR,Manufacturing,6,Remote,20,5
EMP1386,Sales,Consulting,20,Remote,20,5
EMP1387,HR,IT,23,Remote,25,15
EMP1388,Data Scientist,Education,28,Onsite,23,10
EMP1389,HR,IT,9,Hybrid,43,9
EMP1390,Designer,Retail,21,Remote,39,0
EMP1391,Sales,Healthcare,2,Onsite,45,11
EMP1392,Sales,Education,1,Remote,20,15
EMP1393,Project Manager,Education,11,Onsite,58,10
EMP1394,HR,Finance,26,Onsite,45,0
EMP1395,Marketing,Manufacturing,30,Onsite,32,5
EMP1396,Data Scientist,Finance,7,Hybrid,45,15
EMP1397,Software Engineer,Education,23,Hybrid,35,11
EMP1398,Sales,IT,17,Remote,22,15
EMP1399,Data Scientist,IT,11,Hybrid,21,12
EMP1400,HR,IT,24,Onsite,23,1
EMP1401,Designer,Healthcare,10,Remote,39,0
EMP1402,Marketing,Consulting,11,Onsite,43,3
EMP1403,Software Engineer,Consulting,32,Hybrid,32,13
EMP1404,Data Scientist,Finance,4,Onsite,27,8
EMP1405,Marketing,Healthcare,13,Hybrid,45,3
EMP1406,Designer,Healthcare,19,Hybrid,26,12
EMP1407,Sales,Finance,29,Remote,28,1
EMP1408,HR,Finance,1,Hybrid,43,13
EMP1409,Marketing,Manufacturing,8,Remote,28,12
EMP1410,HR,IT,10,Hybrid,37,0
EMP1411,Designer,IT,29,Remote,21,13
EMP1412,Sales,Education,29,Remote,38,1
EMP1413,Software Engineer,Finance,16,Onsite,28,5
EMP1414,Data Scientist,Healthcare,33,Remote,33,0
EMP1415,Marketing,IT,31,Onsite,25,4
EMP1416,Marketing,Manufacturing,23,Onsite,44,9
EMP1417,Marketing,Education,6,Remote,49,15
EMP1418,Software Engineer,Consulting,1,Remote,60,0
EMP1419,Software Engineer,IT,1,Onsite,28,3
EMP1420,Data Scientist,IT,19,Remote,41,5
EMP1421,Software Engineer,IT,7,Onsite,51,13
EMP1422,Data Scientist,Manufacturing,5,Remote,52,9
EMP1423,Marketing,Healthcare,24,Remote,31,10
EMP1424,Project Manager,Manufacturing,6,Remote,51,3
EMP1425,HR,Finance,23,Onsite,36,9
EMP1426,Project Manager,Finance,14,Onsite,59,10
EMP1427,Sales,Consulting,31,Remote,43,7
EMP1428,Designer,Consulting,1,Hybrid,54,13
EMP1429,Project Manager,Healthcare,30,Hybrid,43,7
EMP1430,Software Engineer,Retail,7,Remote,22,2
EMP1431,Marketing,Finance,7,Remote,34,8
EMP1432,Sales,Manufacturing,33,Remote,23,5
EMP1433,Project Manager,Healthcare,29,Remote,27,3
EMP1434,Project Manager,Finance,35,Remote,45,1
EMP1435,Marketing,Retail,12,Remote,42,7
EMP1436,Marketing,Retail,25,Onsite,40,7
EMP1437,Project Manager,Education,20,Onsite,46,6
EMP1438,Marketing,Retail,1,Hybrid,37,6
EMP1439,Marketing,Consulting,2,Onsite,36,9
EMP1440,Designer,IT,31,Hybrid,35,6
EMP1441,Data Scientist,Retail,34,Hybrid,24,4
EMP1442,HR,Manufacturing,16,Remote,22,1
EMP1443,HR,Manufacturing,24,Hybrid,37,8
EMP1444,Software Engineer,Manufacturing,27,Hybrid,28,13
EMP1445,Data Scientist,IT,23,Remote,56,7
EMP1446,Designer,Retail,34,Hybrid,36,9
EMP1447,Data Scientist,Finance,32,Hybrid,35,1
EMP1448,Designer,IT,14,Hybrid,41,10
EMP1449,Sales,Healthcare,23,Remote,40,13
EMP1450,Marketing,IT,14,Hybrid,37,10
EMP1451,Designer,Finance,1,Onsite,27,12
EMP1452,Project Manager,IT,22,Hybrid,51,11
EMP1453,Sales,Retail,27,Remote,35,4
EMP1454,Marketing,Consulting,20,Onsite,46,7
EMP1455,Designer,Consulting,17,Onsite,50,7
EMP1456,Data Scientist,Retail,21,Remote,26,2
EMP1457,Project Manager,Finance,11,Hybrid,38,14
EMP1458,Project Manager,Healthcare,26,Onsite,57,2
EMP1459,Project Manager,Retail,14,Remote,26,15
EMP1460,Project Manager,Finance,24,Remote,41,11
EMP1461,Project Manager,Retail,23,Remote,41,5
EMP1462,Software Engineer,IT,6,Hybrid,25,9
EMP1463,Project Manager,Consulting,35,Remote,56,10
EMP1464,Software Engineer,Education,7,Remote,43,8
EMP1465,HR,Education,32,Remote,39,5
EMP1466,Designer,Healthcare,19,Remote,39,12
EMP1467,Data Scientist,IT,6,Onsite,53,4
EMP1468,Data Scientist,Consulting,29,Remote,27,6
EMP1469,Software Engineer,Retail,31,Onsite,47,10
EMP1470,Marketing,Manufacturing,8,Hybrid,29,14
EMP1471,Software Engineer,Consulting,24,Remote,41,4
EMP1472,Project Manager,Healthcare,11,Remote,22,7
EMP1473,Marketing,Healthcare,31,Onsite,41,13
EMP1474,Software Engineer,Healthcare,29,Onsite,44,14
EMP1475,Sales,Consulting,24,Remote,57,14
EMP1476,HR,Retail,5,Remote,43,2
EMP1477,HR,Consulting,17,Hybrid,43,11
EMP1478,Software Engineer,Retail,6,Onsite,20,4
EMP1479,Marketing,Retail,21,Hybrid,55,11
EMP1480,Project Manager,IT,35,Hybrid,44,15
EMP1481,Designer,Retail,29,Hybrid,37,15
EMP1482,Marketing,Manufacturing,9,Remote,59,5
EMP1483,Software Engineer,IT,27,Remote,43,11
EMP1484,Project Manager,Manufacturing,4,Onsite,57,2
EMP1485,Project Manager,Education,17,Onsite,51,3
EMP1486,Data Scientist,Retail,35,Onsite,39,12
EMP1487,HR,Healthcare,14,Onsite,56,5
EMP1488,Data Scientist,Finance,30,Hybrid,53,6
EMP1489,Marketing,IT,1,Hybrid,33,10
EMP1490,HR,Retail,4,Remote,47,6
EMP1491,Project Manager,IT,35,Hybrid,42,2
EMP1492,HR,Education,12,Remote,32,15
EMP1493,Software Engineer,Finance,17,Onsite,58,4
EMP1494,Designer,Education,17,Onsite,46,5
EMP1495,Data Scientist,Retail,10,Onsite,29,7
EMP1496,HR,IT,3,Remote,39,6
EMP1497,Designer,Healthcare,15,Hybrid,24,8
EMP1498,HR,Consulting,32,Onsite,30,0
EMP1499,HR,Consulting,14,Remote,37,8
EMP1500,Software Engineer,Consulting,26,Onsite,32,13
EMP1501,Software Engineer,IT,4,Onsite,49,12
EMP1502,Software Engineer,Manufacturing,27,Onsite,24,7
EMP1503,Designer,Finance,11,Hybrid,20,9
EMP1504,Software Engineer,Consulting,22,Onsite,41,4
EMP1505,Software Engineer,Finance,8,Hybrid,27,0
EMP1506,Designer,Manufacturing,28,Onsite,43,12
EMP1507,HR,IT,10,Onsite,34,8
EMP1508,Designer,Consulting,35,Remote,20,8
EMP1509,Software Engineer,Finance,19,Remote,49,11
EMP1510,Software Engineer,Finance,17,Remote,39,1
EMP1511,Software Engineer,Healthcare,12,Hybrid,56,15
EMP1512,Marketing,Retail,23,Onsite,55,12
EMP1513,Marketing,Retail,19,Remote,59,15
EMP1514,Designer,Manufacturing,21,Hybrid,33,6
EMP1515,Data Scientist,IT,31,Onsite,42,13
EMP1516,Data Scientist,IT,4,Remote,22,4
EMP1517,Data Scientist,IT,8,Onsite,42,11
EMP1518,Data Scientist,Healthcare,20,Remote,31,14
EMP1519,HR,Finance,2,Remote,40,9
EMP1520,Software Engineer,Manufacturing,17,Remote,20,5
EMP1521,Software Engineer,Consulting,25,Onsite,28,1
EMP1522,Data Scientist,IT,23,Onsite,35,13
EMP1523,Marketing,Manufacturing,4,Remote,60,11
EMP1524,Project Manager,Retail,9,Onsite,58,7
EMP1525,Data Scientist,Finance,16,Remote,28,0
EMP1526,Software Engineer,IT,29,Remote,44,14
EMP1527,Project Manager,Consulting,14,Onsite,50,4
EMP1528,Designer,Finance,25,Remote,60,1
EMP1529,Project Manager,Finance,6,Hybrid,53,5
EMP1530,Software Engineer,IT,17,Remote,36,7
EMP1531,HR,Retail,21,Hybrid,24,0
EMP1532,HR,Retail,5,Remote,25,0
EMP1533,Designer,Consulting,20,Remote,47,8
EMP1534,Marketing,Consulting,11,Remote,50,10
EMP1535,Project Manager,IT,10,Hybrid,40,11
EMP1536,Software Engineer,Finance,22,Onsite,39,11
EMP1537,Project Manager,Consulting,2,Onsite,54,12
EMP1538,Software Engineer,Manufacturing,24,Hybrid,44,9
EMP1539,Data Scientist,Retail,2,Remote,33,3
EMP1540,Sales,Healthcare,23,Hybrid,25,8
EMP1541,Software Engineer,IT,3,Onsite,33,8
EMP1542,HR,Education,25,Remote,31,7
EMP1543,Designer,Education,12,Remote,36,1
EMP1544,Sales,Consulting,22,Remote,35,9
EMP1545,Project Manager,Finance,22,Remote,24,12
EMP1546,Project Manager,Manufacturing,33,Hybrid,50,7
EMP1547,Sales,Retail,6,Hybrid,30,11
EMP1548,Marketing,Consulting,30,Onsite,38,3
EMP1549,Designer,Consulting,1,Onsite,40,5
EMP1550,Project Manager,Retail,19,Remote,40,9
EMP1551,Data Scientist,IT,1,Remote,29,2
EMP1552,Sales,Manufacturing,30,Onsite,42,11
EMP1553,Sales,Consulting,35,Hybrid,50,3
EMP1554,Software Engineer,Retail,4,Remote,23,13
EMP1555,Data Scientist,Retail,6,Remote,31,10
EMP1556,Sales,IT,12,Onsite,44,9
